순환기,실신,혈관미주신경성,
류마티스,루푸스,,
,항인지질증후군,,
,경피증,,
,염증성근병증,,
,쇼그렌 증후군,,
,베체트병,,
,강직성척추염,,
,반응성관절염,,
,류마티스관절염,,
,골관절염,,
,통풍,,
,감염관절염,,
,기쿠치병,,
감염내과,발열,불명열,
,지역사회,설사 (비염증성),
,,설사 (염증성),
,,* 비장티푸스 살,
,,* 이질 ,
,,* 콜레라 ,
,,* 캄필로박터,
,원내감염,거짓막결장염,
,,면역저하자,
,,도관 감염,
,G(+),포도알균,
,,근골격계,
,,단독,
,,연조직염,
,,괴사성 근막염,
,,(푸르니에 괴저),
,,가스괴저,
,,파상풍,
,,사슬알균인두염,
,,리스테리아,
,G(-),대장균,
,,녹농균,
,,호중구감소증,
,,장티푸스,
,,괴저병,
,,레지오넬라,
,,임균감염,
,,수막알균,
,,브루셀라증,
,,묘소병,
감염내과,기타,혐기성균,
,,방선균증,
,,한센병 ,
,,노카르디아증,
,,골수염,
,,매독,
,,라임병,
,,재귀열 ,
,,렙토스피라증,
,,리케차 병,
,,쯔쯔가무시병,
,,큐열,
,,미코플라스마,
,바이러스,신증후 출혈열,
,,SFTS,
,,뎅기열,
,,지카바이러스 ,
,,치쿤구니아열,
,,MERS,
,,아데노바이러스,
,,인플루엔자,
,,AIDS,
,,EBV,
,,CMV,
,,단순포진감염,
,,수두-대상포진,
,,공수병 ,
,,감기,
,,COVID-19 ,
,진균,폐포자충폐렴,
,,아스퍼질러스증,
,,털곰팡이증,
,,칸디다증,
,,크립토코쿠스증,
,원생돌물,말라리아 ,
,,톡소플라즈마증,
,,아메바증 ,
,,아메바 장염,
,,자유아메바증,
,기생충,고래회충 유충증,
,,폐흡충증,
,,간흡추증,
,,요충증,
혈액내과,적혈구,절결핍빈혈,
,,만성질환빈혈,
,,지중해빈혈,
,,거대적혈모구빈혈,
,,* 악성 빈혈,
,,용혈성 빈혈,
,, (혈관 내),
,,   (혈관 외),
,,* 발작성 야간 혈색소뇨증,
,,* 자가면역 용혈성 빈혈,
,,* 유전 구혈적혈구증,
,,재생불량성 빈혈 (AA),
,,골수형성이상 증후군 (MDS),
,혈소판,특발성 혈소판감소성 자반증 (ITP),
,,헤파린 유발 혈소판감소증 (HIT),
,응고인자,혈우병,
,,vWD,
,,Vit K deficiency,
,혈관벽,미세혈관병성 용혈 빈혈 (MAHA),
,,혈전성 혈소판감소 자색반 (TTP),
,,용혈성 요독 증후군 (HUS),
,,파종혈관내응고 (DIC),
,백혈구,백혈병,
,,급성 백혈병,
,,급성 골수성 (AML),
,,* 급성 전골수성 (APL M3),
,,급성 림프모구성 (ALL),
,,만성 백혈병,
,,만성 골수성 (CML),
,,만성 림프모구성 (CLL),
,림프구,림프종 ,
,,호지킨 림프종,
,,비호지킨 림프종,
,,"* follicular, small lymphocytic",
,,* BLDL,
,,"* Burkitt’s, Lymphoblastic",
,기타,다발골수종 (MM),
,,진성 적혈구증가증 (p-vera),
,,본태성 혈소판증가증 (ET),
,,특발성 골수섬유증 (PMF),
종양내과,종양용해증후군,,
,상대정맥증후군,,
,부종양증후군,,
,척수압박증후군,,
